Refinery_ID,Refinery_Name,Emirate,Operator,Capacity_BPD,Commissioned_Year,No_of_Employees,Crude_Source,Annual_Throughput_Million_Tons,Environmental_Rating,Petrol_Output_BPD,Diesel_Output_BPD,Gas_Output_BPD,Employee_Category,Average_Salary_AED
R199,Al Ain Petro,Fujairah,Fujairah Energy,573577,2010,675,Mixed,1.7,5.44,243242,247930,82404,Maintenance,21016
R200,Ajman Refinery,Sharjah,UAE National Oil Co.,558004,1986,2369,Mixed,30.06,7.93,190238,264954,102811,Administration,14264
R201,Sharjah Petrochem,Ajman,ENOC,629724,2010,2497,Offshore,17.66,5.95,275933,278330,75459,Administration,20284
R202,Al Ain Petro,Abu Dhabi,Sharjah Refining Ltd.,516176,1985,2095,Onshore,9.92,5.76,148755,234525,132895,Operations,21850
R203,Al Ain Petro,Umm Al Quwain,UAE National Oil Co.,877922,2003,493,Imported,28.16,9.18,278869,495270,103782,Administration,24229
R204,Dubai Energy Refinery,Umm Al Quwain,RAK Oil,628031,1982,1725,Mixed,20,7.78,294399,228517,105114,Engineering,21129
R205,Dubai Energy Refinery,Umm Al Quwain,UAQ Petroleum,277486,2008,796,Mixed,5.98,6.64,112423,122153,42908,Quality Control,12391
R206,Ruwais Refinery,Ajman,ENOC,80846,2003,478,Offshore,30.44,9.1,35126,34693,11026,Engineering,16405
R207,Umm Al Quwain Refining Co.,Ras Al Khaimah,RAK Oil,324478,1990,2426,Mixed,21.36,5.07,135335,155007,34135,Maintenance,16068
R208,Al Ain Petro,Abu Dhabi,ADNOC Refining,233916,1995,2484,Onshore,18.24,8.53,91229,96061,46624,Maintenance,18488
R209,Jebel Ali Refinery,Umm Al Quwain,UAQ Petroleum,855661,1996,414,Imported,27.25,6.42,312603,343289,199768,Operations,9103
R210,Umm Al Quwain Refining Co.,Ras Al Khaimah,Ajman Petro,801359,1984,1397,Onshore,32.56,5.99,328710,337296,135351,Maintenance,24548
R211,Jebel Ali Refinery,Ajman,RAK Oil,539225,1996,1555,Mixed,23.81,7.29,229270,185140,124814,Operations,10742
R212,Fujairah Refinery,Abu Dhabi,Gulf Energy,82310,1975,1772,Mixed,28.06,7.81,26794,40771,14744,Operations,10003
R213,Umm Al Quwain Refining Co.,Dubai,Sharjah Refining Ltd.,275341,2017,1853,Onshore,1.96,8.32,98714,115661,60965,Quality Control,17056
R214,Al Ain Petro,Abu Dhabi,ADNOC Refining,246067,1975,2336,Offshore,34.21,8.27,79440,112138,54488,Engineering,19219
R215,ADNOC Refining Plant,Fujairah,Ajman Petro,250192,2000,2367,Onshore,31.7,9.94,91140,124500,34551,Quality Control,18996
R216,Al Ain Petro,Sharjah,UAQ Petroleum,748207,1984,501,Imported,29.82,7.28,231861,342326,174019,Administration,10243
R217,Emirates Fuel Processing,Sharjah,Emirates Petrochem,453900,2011,1690,Onshore,10.71,5.41,194508,204401,54989,Administration,15649
R218,Al Ain Petro,Fujairah,UAE National Oil Co.,878330,2015,1019,Mixed,15.66,8.37,275868,452505,149955,Engineering,19619
R219,Ajman Refinery,Dubai,Gulf Energy,155468,2017,1740,Onshore,14.53,8.39,50279,71651,33536,Administration,11744
R220,Dubai Energy Refinery,Abu Dhabi,Emirates Petrochem,190595,2006,431,Onshore,18.98,6.28,82151,67396,41046,Maintenance,17860
R221,ADNOC Refining Plant,Dubai,Fujairah Energy,139763,1991,2049,Offshore,31.62,7.79,53146,58091,28525,Operations,10090
R222,Dubai Energy Refinery,Dubai,Ajman Petro,833266,2010,2001,Offshore,14.05,6.25,254328,421465,157472,Maintenance,17186
R223,ADNOC Refining Plant,Sharjah,Gulf Energy,754542,2021,2042,Onshore,23.1,5.88,339474,310771,104296,Administration,13160
R224,ADNOC Refining Plant,Abu Dhabi,Gulf Energy,225453,1982,413,Imported,12.78,8.21,86768,99312,39371,Quality Control,24730
R225,Ruwais Refinery,Ajman,UAE National Oil Co.,874620,2022,1144,Offshore,6.03,6.39,302081,360450,212088,Engineering,21585
R226,Ajman Refinery,Ajman,ADNOC Refining,893009,1980,647,Offshore,2.61,8.19,269274,452646,171088,Quality Control,22141
R227,Ruwais Refinery,Umm Al Quwain,Ajman Petro,875475,1993,1788,Onshore,6.89,6.74,285493,355048,234932,Engineering,18561
R228,Emirates Fuel Processing,Ras Al Khaimah,ENOC,153545,2018,707,Offshore,15.29,7.49,53179,72587,27777,Maintenance,11633
R229,ADNOC Refining Plant,Umm Al Quwain,Ajman Petro,211188,1998,1773,Mixed,29.87,5.69,90551,76466,44169,Administration,8970
R230,Sharjah Petrochem,Dubai,Gulf Energy,797670,2012,1138,Mixed,22.33,7.03,307951,317983,171735,Operations,18576
R231,Jebel Ali Refinery,Umm Al Quwain,ENOC,880084,2004,1205,Imported,20.55,8.51,340209,379097,160776,Engineering,20961
R232,Fujairah Refinery,Sharjah,Emirates Petrochem,67943,1981,1086,Imported,9.86,9.91,26854,31050,10037,Quality Control,10231
R233,Dubai Energy Refinery,Sharjah,UAQ Petroleum,624490,2013,1316,Mixed,27.6,8.74,276704,222267,125517,Maintenance,13811
R234,Emirates Fuel Processing,Abu Dhabi,Fujairah Energy,743338,2013,1305,Onshore,13.06,8.09,295086,291265,156986,Engineering,9676
R235,Sharjah Petrochem,Dubai,RAK Oil,85843,1995,1285,Onshore,5.29,7.09,32431,37233,16178,Administration,23964
R236,Umm Al Quwain Refining Co.,Ajman,RAK Oil,129463,2012,850,Mixed,27.52,9.89,48205,58672,22584,Quality Control,15180
R237,Ruwais Refinery,Abu Dhabi,Emirates Petrochem,101554,1989,920,Mixed,25.57,5.68,46585,40121,14847,Maintenance,13750
R238,Umm Al Quwain Refining Co.,Ajman,Sharjah Refining Ltd.,596958,1977,561,Offshore,17.41,8.36,238922,225323,132712,Operations,11683
R239,Jebel Ali Refinery,Sharjah,UAQ Petroleum,575335,1986,1395,Offshore,12.19,9.89,262690,232297,80347,Administration,21432
R240,ADNOC Refining Plant,Abu Dhabi,UAQ Petroleum,809740,2011,1419,Offshore,26.43,7.43,257367,430343,122028,Operations,23609
R241,Al Ain Petro,Ras Al Khaimah,Ajman Petro,331706,2009,1022,Onshore,21.88,6.71,132055,137432,62218,Administration,24335
R242,Al Ain Petro,Umm Al Quwain,RAK Oil,267188,1977,303,Onshore,27.62,7.67,122966,100412,43809,Maintenance,8484
R243,Dubai Energy Refinery,Sharjah,Ajman Petro,387522,1983,673,Mixed,9.15,6.74,153566,176104,57850,Engineering,17729
R244,Emirates Fuel Processing,Abu Dhabi,ENOC,628847,2012,478,Onshore,17.9,7.42,229929,313114,85803,Maintenance,23344
R245,Emirates Fuel Processing,Ras Al Khaimah,Emirates Petrochem,245076,2021,816,Offshore,24.19,9.93,116635,85500,42939,Maintenance,23687
R246,Ruwais Refinery,Sharjah,Emirates Petrochem,261275,2011,561,Offshore,20.06,5.48,96650,110953,53671,Maintenance,14701
R247,Al Ain Petro,Sharjah,Ajman Petro,720205,2023,1900,Imported,17.3,9.13,208053,353403,158748,Operations,13420
R248,ADNOC Refining Plant,Sharjah,ENOC,601944,1988,906,Mixed,22.82,6.73,249452,236845,115645,Quality Control,22887
R249,Al Ain Petro,Dubai,ENOC,488955,2001,1327,Offshore,34.35,8.24,144706,250483,93765,Administration,12242
R250,Fujairah Refinery,Umm Al Quwain,RAK Oil,384237,1980,490,Imported,31.93,7.44,150716,183304,50216,Maintenance,18494
R251,Ruwais Refinery,Sharjah,Gulf Energy,363843,1997,1176,Onshore,8.95,6.24,150263,137847,75731,Maintenance,24595
R252,Emirates Fuel Processing,Umm Al Quwain,UAQ Petroleum,886486,1991,2195,Mixed,29.08,6.29,316120,395050,175315,Engineering,24328
R253,Al Ain Petro,Umm Al Quwain,Emirates Petrochem,855105,1988,1417,Onshore,11.56,5.95,292905,424921,137278,Operations,9075
R254,Emirates Fuel Processing,Dubai,ENOC,595119,2021,1169,Offshore,5.28,5.42,223257,282105,89755,Quality Control,18647
R255,Ruwais Refinery,Fujairah,UAE National Oil Co.,582514,1991,1142,Mixed,2.71,7.32,225569,243421,113523,Quality Control,13201
R256,Fujairah Refinery,Umm Al Quwain,UAQ Petroleum,187297,2004,1042,Imported,22.45,7.33,68995,75191,43109,Maintenance,9617
R257,Al Ain Petro,Ajman,Sharjah Refining Ltd.,366440,1995,2323,Mixed,9.92,8.59,133455,151422,81561,Administration,11947
R258,Dubai Energy Refinery,Fujairah,ENOC,337754,1992,2366,Mixed,15.64,9.94,99715,182238,55799,Operations,22444
R259,Ajman Refinery,Ras Al Khaimah,Ajman Petro,320652,2004,2227,Offshore,27.17,9.85,99519,155168,65963,Operations,16498
R260,Ruwais Refinery,Ajman,Fujairah Energy,345051,2017,1746,Onshore,10.98,6.42,149247,113710,82092,Administration,13200
R261,Emirates Fuel Processing,Umm Al Quwain,Ajman Petro,571851,1986,701,Onshore,12.02,6.03,236139,222880,112831,Administration,21944
R262,Dubai Energy Refinery,Umm Al Quwain,Gulf Energy,68465,1980,2149,Onshore,32.73,9.94,30473,29441,8549,Maintenance,19800
R263,Al Ain Petro,Ajman,Emirates Petrochem,193443,2021,2013,Mixed,9.74,9.5,80856,89179,23406,Administration,24911
R264,Umm Al Quwain Refining Co.,Ras Al Khaimah,ADNOC Refining,627738,1977,1724,Onshore,22.77,7.6,279181,248286,100269,Engineering,20856
R265,Umm Al Quwain Refining Co.,Abu Dhabi,UAE National Oil Co.,672331,2019,1797,Onshore,13.96,6.38,297627,212629,162073,Maintenance,8323
R266,ADNOC Refining Plant,Sharjah,Gulf Energy,60675,2000,1476,Onshore,15.34,6.28,22575,30296,7802,Quality Control,20403
R267,Al Ain Petro,Ajman,Emirates Petrochem,251687,1979,1437,Offshore,24.79,8.87,90313,119763,41609,Administration,18876
R268,Sharjah Petrochem,Dubai,ADNOC Refining,571690,2009,1546,Mixed,31.27,5.49,240925,227240,103523,Engineering,14219
R269,Umm Al Quwain Refining Co.,Sharjah,ADNOC Refining,881204,1987,1892,Mixed,23.74,8.22,280763,392088,208351,Quality Control,23138
R270,Sharjah Petrochem,Umm Al Quwain,UAQ Petroleum,445675,1983,1999,Imported,19.39,6.31,187252,188845,69576,Operations,14755
R271,Dubai Energy Refinery,Umm Al Quwain,Gulf Energy,634356,2009,1202,Mixed,4.03,5.3,218285,298207,117862,Maintenance,22158
R272,Ajman Refinery,Abu Dhabi,UAE National Oil Co.,391348,2005,2080,Onshore,14.58,7.43,156114,166181,69052,Engineering,21807
R273,Sharjah Petrochem,Fujairah,RAK Oil,569222,2003,1161,Mixed,19.81,8.34,177587,322188,69446,Administration,24535
R274,Al Ain Petro,Ras Al Khaimah,ENOC,200678,1996,1158,Onshore,7.74,9,79603,89853,31221,Operations,14330
R275,Ajman Refinery,Dubai,UAE National Oil Co.,486096,1994,1610,Imported,8.03,6.39,179018,184431,122645,Maintenance,9957
R276,Ruwais Refinery,Sharjah,RAK Oil,142221,2019,2014,Offshore,17.32,9.62,70416,53321,18482,Operations,9718
R277,Dubai Energy Refinery,Abu Dhabi,Ajman Petro,89574,2010,1828,Imported,2.08,8.16,29955,35062,24555,Administration,15496
R278,ADNOC Refining Plant,Umm Al Quwain,ENOC,475114,2004,2106,Offshore,10.12,7.58,153573,238981,82559,Operations,12735
R279,ADNOC Refining Plant,Ras Al Khaimah,RAK Oil,145751,2005,609,Offshore,24.3,5.19,43908,78149,23693,Maintenance,12573
R280,Al Ain Petro,Sharjah,Fujairah Energy,183054,1996,1689,Offshore,20.47,6.21,60098,82008,40947,Maintenance,14385
R281,Umm Al Quwain Refining Co.,Abu Dhabi,Sharjah Refining Ltd.,106736,2015,1756,Mixed,8.91,5.61,37379,52689,16667,Maintenance,19792
R282,Dubai Energy Refinery,Abu Dhabi,Emirates Petrochem,502000,1983,915,Offshore,34.56,6.34,184195,220551,97252,Administration,10915
R283,Ruwais Refinery,Dubai,Gulf Energy,804142,2022,1114,Offshore,29.19,7.21,256377,412686,135077,Quality Control,22121
R284,Sharjah Petrochem,Sharjah,ENOC,149040,2020,1076,Offshore,5.08,5.69,53821,64868,30350,Engineering,14614
R285,Ajman Refinery,Ras Al Khaimah,ENOC,839753,1995,1643,Offshore,10.94,9.88,299305,354784,185663,Engineering,18464
R286,Umm Al Quwain Refining Co.,Sharjah,ADNOC Refining,662208,1999,2130,Onshore,34.01,9.51,282413,283358,96436,Quality Control,21563
R287,Umm Al Quwain Refining Co.,Ras Al Khaimah,ENOC,784287,1999,927,Mixed,13.21,6.64,298289,319759,166238,Administration,13328
R288,ADNOC Refining Plant,Fujairah,Sharjah Refining Ltd.,245611,1997,440,Mixed,4.74,9.86,92201,101596,51813,Engineering,18278
R289,Sharjah Petrochem,Abu Dhabi,Gulf Energy,874455,2002,2009,Offshore,12.79,8.64,241700,463105,169649,Quality Control,12690
R290,Dubai Energy Refinery,Fujairah,Fujairah Energy,609052,2020,2446,Mixed,12.58,6.02,249306,286520,73225,Operations,9599
R291,Ruwais Refinery,Fujairah,RAK Oil,156193,2000,2460,Onshore,34.08,9.69,48676,75475,32041,Engineering,20181
R292,ADNOC Refining Plant,Ras Al Khaimah,UAE National Oil Co.,107713,2002,1752,Onshore,18.35,7.16,39418,49311,18983,Maintenance,22206
R293,Ruwais Refinery,Sharjah,Gulf Energy,242861,2019,1708,Offshore,11.78,6.57,79254,124199,39406,Engineering,16998
R294,Emirates Fuel Processing,Dubai,Sharjah Refining Ltd.,287511,2008,1403,Offshore,23.1,7.26,110290,120665,56555,Operations,19890
R295,Ruwais Refinery,Ajman,Emirates Petrochem,755413,1998,1091,Mixed,13.9,5.22,263631,293528,198253,Operations,20983
R296,ADNOC Refining Plant,Abu Dhabi,UAQ Petroleum,354360,2019,1282,Offshore,28.71,6.71,129836,146305,78217,Operations,15913
R297,Ruwais Refinery,Ajman,UAE National Oil Co.,683702,1990,1245,Offshore,4.46,6.45,245728,274564,163409,Quality Control,23996
R298,ADNOC Refining Plant,Sharjah,UAE National Oil Co.,830401,2021,1079,Offshore,19.62,6.09,291799,377231,161369,Engineering,19699
R299,Ajman Refinery,Fujairah,Sharjah Refining Ltd.,616811,2016,401,Mixed,16.45,8.3,230789,241682,144339,Administration,12846
R300,Dubai Energy Refinery,Sharjah,UAE National Oil Co.,100622,2003,1519,Offshore,21.14,7.88,36135,51104,13381,Administration,24208
R301,Ajman Refinery,Ajman,Sharjah Refining Ltd.,605627,2021,1626,Imported,18.23,5.69,260062,212292,133272,Administration,9821
R302,Al Ain Petro,Ajman,RAK Oil,191336,2004,2450,Offshore,34.05,9.74,65873,84131,41330,Maintenance,22660
R303,Al Ain Petro,Fujairah,UAE National Oil Co.,270807,2021,1090,Onshore,18.18,7.04,101241,126246,43319,Operations,22867
R304,Sharjah Petrochem,Abu Dhabi,Sharjah Refining Ltd.,499956,1982,1214,Onshore,19.86,8.44,175444,219736,104774,Operations,22759
R305,Emirates Fuel Processing,Ajman,Ajman Petro,784387,2010,2044,Imported,34.38,8.89,325006,336997,122382,Operations,16314
R306,Dubai Energy Refinery,Sharjah,Emirates Petrochem,518387,2002,1350,Imported,23.66,5.55,224080,188693,105612,Administration,10080
R307,Jebel Ali Refinery,Ajman,UAQ Petroleum,485525,2014,561,Imported,2.38,8.84,209915,184012,91596,Quality Control,16835
R308,ADNOC Refining Plant,Fujairah,Ajman Petro,695050,1979,2000,Mixed,26.05,8.93,239186,258188,197675,Operations,23396
R309,Emirates Fuel Processing,Ajman,Emirates Petrochem,249860,1993,670,Mixed,9.18,5.19,97507,99561,52790,Operations,20625
R310,Emirates Fuel Processing,Dubai,RAK Oil,165812,1993,586,Onshore,32.24,9.98,50694,74442,40675,Maintenance,14687
R311,Fujairah Refinery,Ras Al Khaimah,RAK Oil,744248,2007,776,Offshore,20.83,8.73,249380,374553,120314,Engineering,11648
R312,ADNOC Refining Plant,Sharjah,RAK Oil,671770,1977,2467,Offshore,2.05,5.59,182490,319132,170146,Operations,18276
R313,Al Ain Petro,Sharjah,ADNOC Refining,110820,1989,1288,Onshore,13.28,7.71,35898,50035,24886,Quality Control,17960
R314,ADNOC Refining Plant,Fujairah,ADNOC Refining,675080,2006,2188,Mixed,2.39,5.56,257208,281198,136672,Maintenance,17112
R315,Fujairah Refinery,Sharjah,Fujairah Energy,129391,2011,494,Offshore,15.84,8,53487,45410,30493,Engineering,14921
R316,Sharjah Petrochem,Umm Al Quwain,Fujairah Energy,402820,1980,328,Onshore,5.39,7.34,118154,209994,74670,Administration,15363
R317,Ajman Refinery,Umm Al Quwain,ENOC,834335,1985,1377,Imported,16.36,9.9,337425,342060,154849,Quality Control,9855
R318,Dubai Energy Refinery,Sharjah,ADNOC Refining,743264,2008,969,Imported,17.03,7.18,274492,376720,92050,Administration,22909
R319,Jebel Ali Refinery,Abu Dhabi,UAE National Oil Co.,116902,1978,2331,Offshore,24.54,5.38,46798,55817,14286,Maintenance,14005
R320,Al Ain Petro,Umm Al Quwain,Ajman Petro,476302,2008,1144,Offshore,26.42,6.94,138563,225542,112196,Operations,19499
R321,Ruwais Refinery,Fujairah,ENOC,642236,2013,1017,Mixed,34.77,9.53,255757,258469,128009,Administration,13745
R322,Umm Al Quwain Refining Co.,Ajman,UAQ Petroleum,763799,2002,1099,Offshore,7.98,8.62,298881,307948,156968,Administration,11435
R323,Sharjah Petrochem,Umm Al Quwain,ADNOC Refining,396320,1979,344,Offshore,10.02,9.24,168049,158161,70108,Maintenance,9763
R324,Fujairah Refinery,Umm Al Quwain,Fujairah Energy,325294,2023,2346,Offshore,8.8,6.43,124680,114748,85865,Operations,18128
R325,Dubai Energy Refinery,Dubai,RAK Oil,595330,1990,2089,Offshore,7.01,7.27,280308,205803,109218,Operations,22793
R326,ADNOC Refining Plant,Ajman,Ajman Petro,539162,2003,2371,Onshore,11.75,9.79,218248,187678,133235,Administration,15363
R327,Sharjah Petrochem,Abu Dhabi,ADNOC Refining,211717,1980,860,Offshore,29.23,5.02,79751,85617,46347,Engineering,14022
R328,Sharjah Petrochem,Ajman,ADNOC Refining,282167,1996,1136,Imported,23.36,6.89,101709,136793,43663,Operations,18874
R329,Fujairah Refinery,Ras Al Khaimah,ADNOC Refining,72116,1982,1493,Offshore,18.98,9.05,27626,30352,14136,Engineering,8932
R330,Ruwais Refinery,Fujairah,UAE National Oil Co.,808692,2023,1222,Onshore,30.82,8.6,229386,402865,176439,Engineering,20471
R331,Umm Al Quwain Refining Co.,Abu Dhabi,Ajman Petro,385007,2022,1524,Offshore,3.26,7.79,111797,203160,70048,Quality Control,11652
R332,Fujairah Refinery,Ajman,ENOC,886496,1975,1770,Onshore,19.47,5.23,352158,404467,129870,Quality Control,15615
R333,Ruwais Refinery,Ras Al Khaimah,Fujairah Energy,288477,1983,1487,Onshore,11.94,8.68,118767,103145,66564,Operations,14742
R334,Ajman Refinery,Ras Al Khaimah,ENOC,589838,2011,1206,Mixed,30.58,6.02,170060,272738,147039,Operations,14832
R335,Emirates Fuel Processing,Abu Dhabi,Gulf Energy,387149,2007,2079,Onshore,7.67,7.06,119445,166150,101552,Operations,14258
R336,Dubai Energy Refinery,Ras Al Khaimah,Gulf Energy,663563,1987,635,Onshore,29.22,9.53,256342,303607,103612,Administration,12628
R337,ADNOC Refining Plant,Fujairah,Gulf Energy,569393,1990,454,Offshore,30.22,6.78,203810,250261,115321,Operations,23583
R338,Fujairah Refinery,Ajman,UAE National Oil Co.,689413,2017,868,Imported,11.83,8.3,260279,284974,144159,Engineering,20170
R339,Ajman Refinery,Ras Al Khaimah,RAK Oil,816432,2012,1970,Mixed,2.27,9.61,303145,415880,97405,Administration,8444
R340,Fujairah Refinery,Fujairah,Gulf Energy,891378,1987,1541,Mixed,19.65,9.13,387533,382553,121290,Engineering,24562
R341,Al Ain Petro,Sharjah,ADNOC Refining,333975,2000,2446,Offshore,30.03,9.24,126611,150833,56529,Administration,13499
R342,Umm Al Quwain Refining Co.,Dubai,UAQ Petroleum,750408,1997,1876,Imported,30.84,6.53,286997,296497,166912,Administration,12050
R343,ADNOC Refining Plant,Ras Al Khaimah,Ajman Petro,211923,1990,1671,Mixed,25.52,9.64,70520,83694,57708,Maintenance,10671
R344,Dubai Energy Refinery,Sharjah,RAK Oil,690356,1990,1599,Onshore,32.99,6.53,308307,220856,161191,Operations,12755
R345,Umm Al Quwain Refining Co.,Dubai,Ajman Petro,564223,2015,1436,Imported,6.74,9.8,211343,240970,111909,Maintenance,13055
R346,Sharjah Petrochem,Umm Al Quwain,UAQ Petroleum,350395,2015,1051,Mixed,7.19,5.22,131762,132703,85929,Administration,21187
R347,Umm Al Quwain Refining Co.,Abu Dhabi,Gulf Energy,695284,2011,1034,Onshore,13.47,9.51,276155,288949,130178,Administration,9518
R348,Emirates Fuel Processing,Sharjah,Fujairah Energy,638230,1994,1313,Mixed,30.43,7.18,226417,255084,156728,Quality Control,11613
R349,Fujairah Refinery,Ras Al Khaimah,Gulf Energy,302840,2001,1938,Onshore,34.43,7.73,111781,139363,51694,Engineering,8780
R350,Dubai Energy Refinery,Ajman,Sharjah Refining Ltd.,575160,2021,851,Imported,16.54,5.57,192057,289468,93634,Maintenance,14102
R351,Fujairah Refinery,Dubai,Gulf Energy,575469,2016,1309,Mixed,15.01,8.01,210911,252064,112493,Administration,17987
R352,Al Ain Petro,Umm Al Quwain,ADNOC Refining,718979,1987,927,Imported,19.89,8.32,296333,315981,106663,Engineering,9057
R353,Fujairah Refinery,Ras Al Khaimah,Sharjah Refining Ltd.,53318,2022,1299,Onshore,13.04,5.69,23021,23646,6650,Maintenance,15333
R354,Fujairah Refinery,Sharjah,ADNOC Refining,667066,1991,1504,Offshore,7.06,9.06,239967,282540,144558,Quality Control,11704
R355,Sharjah Petrochem,Sharjah,Ajman Petro,776076,1983,740,Offshore,31.79,8,370444,278807,126823,Quality Control,19992
R356,Umm Al Quwain Refining Co.,Umm Al Quwain,Sharjah Refining Ltd.,298574,2006,2144,Onshore,15.74,9.62,87769,130662,80141,Administration,9506
R357,Ajman Refinery,Umm Al Quwain,UAQ Petroleum,795920,1980,2379,Imported,23.32,6.94,320263,354658,120998,Quality Control,21437
R358,Fujairah Refinery,Sharjah,ADNOC Refining,67561,1980,408,Imported,11.33,8.57,30512,22946,14101,Administration,24495
R359,Jebel Ali Refinery,Abu Dhabi,UAE National Oil Co.,203543,1976,1161,Offshore,5.07,7.69,86854,68408,48279,Maintenance,19581
R360,ADNOC Refining Plant,Umm Al Quwain,ADNOC Refining,738300,2011,1837,Offshore,32.15,6.34,279974,371048,87276,Quality Control,19872
R361,Fujairah Refinery,Ras Al Khaimah,Emirates Petrochem,486474,1990,2153,Onshore,8.8,6.08,183883,207252,95338,Quality Control,10040
R362,Emirates Fuel Processing,Ajman,Emirates Petrochem,891230,1996,1571,Imported,8.58,8.15,306958,380875,203396,Maintenance,16256
R363,Dubai Energy Refinery,Umm Al Quwain,Sharjah Refining Ltd.,392318,1997,453,Mixed,2.25,7.81,156372,165009,70935,Engineering,16434
R364,Jebel Ali Refinery,Fujairah,ADNOC Refining,70352,1980,1217,Imported,22.78,9.34,24533,31921,13896,Administration,11029
R365,Jebel Ali Refinery,Abu Dhabi,Emirates Petrochem,358305,2022,551,Offshore,34.27,7.86,164568,147101,46635,Maintenance,12502
R366,Emirates Fuel Processing,Ras Al Khaimah,Gulf Energy,571590,1977,787,Onshore,5.36,8.89,204083,260744,106762,Administration,11868
R367,Dubai Energy Refinery,Umm Al Quwain,Fujairah Energy,149819,2014,440,Mixed,32.73,7.82,50771,77427,21620,Engineering,9458
R368,Sharjah Petrochem,Dubai,UAQ Petroleum,355117,1995,1740,Onshore,15.37,6.91,134086,149795,71235,Maintenance,19219
R369,Ajman Refinery,Dubai,Sharjah Refining Ltd.,58570,2013,1833,Offshore,14.9,6.42,22495,23971,12102,Maintenance,14363
R370,Al Ain Petro,Fujairah,Fujairah Energy,597001,1981,2134,Offshore,31.61,5.03,266694,218550,111756,Engineering,8499
R371,Umm Al Quwain Refining Co.,Dubai,Emirates Petrochem,699855,1976,478,Mixed,5.55,8.11,289638,259609,150607,Quality Control,14925
R372,Al Ain Petro,Ras Al Khaimah,UAE National Oil Co.,179484,1976,1415,Mixed,33.24,5.92,68130,82839,28514,Operations,23407
R373,Dubai Energy Refinery,Ajman,Gulf Energy,640256,2017,1851,Mixed,24.88,7.72,255016,247428,137810,Quality Control,15116
R374,Umm Al Quwain Refining Co.,Sharjah,Sharjah Refining Ltd.,513179,2002,385,Offshore,34.93,6.56,181558,243543,88077,Operations,16143
R375,Emirates Fuel Processing,Umm Al Quwain,ENOC,477888,2015,1570,Onshore,26.94,6.59,181023,177150,119713,Engineering,23505
R376,Emirates Fuel Processing,Dubai,RAK Oil,346843,2002,1307,Mixed,12.74,6.65,109103,142202,95537,Engineering,13794
R377,Emirates Fuel Processing,Fujairah,Emirates Petrochem,891014,1997,800,Onshore,32.27,8.35,362535,373190,155287,Operations,23227
R378,Emirates Fuel Processing,Sharjah,Sharjah Refining Ltd.,846193,1987,840,Onshore,15.68,7.68,306319,371791,168082,Engineering,9414
R379,Ruwais Refinery,Ras Al Khaimah,RAK Oil,741610,1975,2105,Imported,14.36,8.21,342582,293936,105090,Engineering,19597
R380,ADNOC Refining Plant,Fujairah,Emirates Petrochem,549426,2022,992,Imported,24.69,8.06,225229,224798,99397,Administration,13328
R381,Umm Al Quwain Refining Co.,Sharjah,ENOC,775643,2011,581,Mixed,18.28,5.97,255115,345544,174983,Administration,24690
R382,Umm Al Quwain Refining Co.,Ras Al Khaimah,UAE National Oil Co.,227825,2004,1995,Offshore,6.64,5.79,73508,105500,48816,Operations,16110
R383,ADNOC Refining Plant,Ras Al Khaimah,RAK Oil,544536,1995,1908,Mixed,10.73,7.74,228327,195432,120775,Quality Control,18867
R384,Sharjah Petrochem,Sharjah,ENOC,459248,1995,1900,Imported,24.86,5.51,172092,209458,77696,Maintenance,9028
R385,Ruwais Refinery,Ajman,Gulf Energy,724592,1989,2424,Imported,3.97,8.25,339196,281217,104177,Quality Control,16202
R386,Emirates Fuel Processing,Ras Al Khaimah,ENOC,200782,2007,1927,Offshore,10.18,8.1,81757,95554,23470,Engineering,13809
R387,Jebel Ali Refinery,Sharjah,ENOC,379850,2009,1788,Offshore,19.95,6.49,147252,166619,65978,Engineering,20134
R388,Al Ain Petro,Abu Dhabi,Emirates Petrochem,148253,1978,1945,Offshore,30.56,6.39,56827,60094,31331,Administration,17273
R389,ADNOC Refining Plant,Umm Al Quwain,Ajman Petro,272574,1983,1668,Onshore,8.2,5.32,97490,108387,66696,Engineering,13912
R390,Dubai Energy Refinery,Dubai,UAQ Petroleum,664066,2005,759,Imported,23.87,6.65,210609,271683,181772,Operations,20353
R391,ADNOC Refining Plant,Sharjah,Ajman Petro,641781,2017,1444,Mixed,12.85,8.87,207686,307059,127035,Administration,9472
R392,Al Ain Petro,Umm Al Quwain,Gulf Energy,419356,2009,1731,Onshore,9.2,8.74,162806,153470,103079,Maintenance,15986
R393,Ruwais Refinery,Sharjah,Ajman Petro,127113,1979,1645,Onshore,25.93,6.6,42821,62301,21989,Operations,12605
R394,Fujairah Refinery,Ras Al Khaimah,Emirates Petrochem,229838,1984,1364,Onshore,23.59,5.81,79918,111662,38257,Engineering,9506
R395,Ajman Refinery,Fujairah,ADNOC Refining,119775,1980,1549,Offshore,7.74,5.29,48922,55866,14986,Maintenance,23268
R396,Sharjah Petrochem,Abu Dhabi,ADNOC Refining,667617,1990,1317,Mixed,29.98,8.07,244185,263135,160295,Maintenance,12903
R397,Ajman Refinery,Sharjah,Fujairah Energy,243004,2001,641,Onshore,5.68,6.24,94662,102821,45519,Maintenance,13803
R398,Jebel Ali Refinery,Fujairah,Ajman Petro,876026,2007,2301,Mixed,34.41,9.31,254615,475911,145498,Engineering,12053
